name,gas-name,temperature,pressure,gas-critical-temperature,gas-critical-pressure,gas-acentric-factor,gas-molar-mass,target-value
DB0-m3_o16_o51_f0_fsc.sym.72,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035800071
DB0-m3_o48_o156_f0_fsc.sym.9,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035805099
DB0-m3_o155_o45_f0_fsc.sym.28,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035831762
DB0-m3_o1490_o156_f0_fsc.sym.19,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035886578
DB0-m3_o153_o158_f0_fsc.sym.17,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.03589882
DB1-Al2O6-ADC_B-BDC_B_No351,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035920691
DB0-m3_o1480_o156_f0_fsc.sym.23,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035922944
DB0-m3_o1480_o156_f0_fsc.sym.20,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035933394
DB0-m3_o113_o22_f0_fsc.sym.17,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035970196
DB0-m3_o500_o156_f0_fsc.sym.22,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035971866
DB0-m3_o1490_o156_f0_fsc.sym.13,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035974688
DB0-m3_o1_o153_f0_fsc.sym.41,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035982138
DB0-m3_o51_o4_f0_fsc.sym.2,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035984112
DB0-m3_o16_o147_f0_fsc.sym.10,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035993125
DB0-m3_o18_o47_f0_fsc.sym.16,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.036002033
DB0-m3_o490_o22_f0_fsc.sym.1,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.036011114
DB0-m3_o18_o51_f0_fsc.sym.30,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.036013543
DB0-m15_o14_o97_f0_fsc,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.036039374
DB0-m3_o1520_o156_f0_fsc.sym.13,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.036055188
DB0-m3_o81_o4_f0_fsc.sym.1,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.036073685
DB0-m3_o156_o150_f0_fsc.sym.104,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.036094565
DB0-m3_o16_o150_f0_fsc.sym.96,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.036097324
DB0-m3_o156_o150_f0_fsc.sym.64,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.036116254
DB0-m3_o16_o1530_f0_fsc.sym.37,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.036117146
DB0-m3_o490_o155_f0_fsc.sym.33,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.036127301
DB1-Al2O6-ADC_B-BDC_B_No167,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.036130658
DB0-m3_o460_o14_f0_fsc.sym.19,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.116309856
DB0-m3_o51_o15_f0_fsc.sym.14,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.117693771
